1,H,1,Hydrogen
2,He,2,Helium
3,Li,3,Lithium
4,Be,4,Beryllium
5,B,5,Boron
6,C,6,Carbon
7,N,7,Nitrogen
8,O,8,Oxygen
9,F,9,Fluorine
10,Ne,10,Neon
11,Na,11,Sodium
12,Mg,12,Magnesium
13,Al,13,Aluminium
14,Si,14,Silicon
15,P,15,Phosphorus
16,S,16,Sulfur
17,Cl,17,Chlorine
18,Ar,18,Argon
19,K,19,Potassium
20,Ca,20,Calcium
21,Sc,21,Scandium
22,Ti,22,Titanium
23,V,23,Vanadium
24,Cr,24,Chromium
25,Mn,25,Manganese
26,Fe,26,Iron
27,Co,27,Cobalt
28,Ni,28,Nickel
29,Cu,29,Copper
30,Zn,30,Zinc
31,Ga,31,Gallium
32,Ge,32,Germanium
33,As,33,Arsenic
34,Se,34,Selenium
35,Br,35,Bromine
36,Kr,36,Krypton
37,Rb,37,Rubidium
38,Sr,38,Strontium
39,Y,39,Yttrium
40,Zr,40,Zirconium
41,Nb,41,Niobium
42,Mo,42,Molybdenum
43,Tc,43,Technetium
44,Ru,44,Ruthenium
45,Rh,45,Rhodium
46,Pd,46,Palladium
47,Ag,47,Silver
48,Cd,48,Cadmium
49,In,49,Indium
50,Sn,50,Tin
51,Sb,51,Antimony
52,Te,52,Tellurium
53,I,53,Iodine
54,Xe,54,Xenon
55,Cs,55,Caesium
56,Ba,56,Barium
57,La,57,Lanthanum
58,Ce,58,Cerium
59,Pr,59,Praseodymium
60,Nd,60,Neodymium
61,Pm,61,Promethium
62,Sm,62,Samarium
63,Eu,63,Europium
64,Gd,64,Gadolinium
65,Tb,65,Terbium
66,Dy,66,Dysprosium
67,Ho,67,Holmium
68,Er,68,Erbium
69,Tm,69,Thulium
70,Yb,70,Ytterbium
71,Lu,71,Lutetium
72,Hf,72,Hafnium
73,Ta,73,Tantalum
74,W,74,Tungsten
75,Re,75,Rhenium
76,Os,76,Osmium
77,Ir,77,Iridium
78,Pt,78,Platinum
79,Au,79,Gold
80,Hg,80,Mercury
81,Tl,81,Thallium
82,Pb,82,Lead
83,Bi,83,Bismuth
84,Po,84,Polonium
85,At,85,Astatine
86,Rn,86,Radon
87,Fr,87,Francium
88,Ra,88,Radium
89,Ac,89,Actinium
90,Th,90,Thorium
91,Pa,91,Protactinium
92,U,92,Uranium
93,Np,93,Neptunium
94,Pu,94,Plutonium
95,Am,95,Americium
96,Cm,96,Curium
97,Bk,97,Berkelium
98,Cf,98,Californium
99,Es,99,Einsteinium
100,Fm,100,Fermium
101,Md,101,Mendelevium
102,No,102,Nobelium
103,Lr,103,Lawrencium
104,Rf,104,Rutherfordium
105,Db,105,Dubnium
106,Sg,106,Seaborgium
107,Bh,107,Bohrium
108,Hs,108,Hassium
109,Mt,109,Meitnerium
110,Ds,110,Darmstadtium
111,Rg,111,Roentgenium
112,Cn,112,Copernicium
113,Uut,113,Ununtrium
114,Fl,114,Flerovium
115,Uup,115,Ununpentium
116,Lv,116,Livermorium
117,Uus,117,Ununseptium
118,Uuo,118,Ununoctium
